FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Product Code,Product,Sessions,PDP Add to Cart Units,Units Sold,Quarter_Start_Date,Week_Start_Date
FY23Q3,FY23W28,MPT63ZM/A,iPhone Accessories,106.0,10.0,5.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPTG3ZM/A,iPhone Accessories,548.0,56.0,22.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPTR3ZM/A,iPhone Accessories,531.0,67.0,22.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPU13ZM/A,iPhone Accessories,305.0,50.0,26.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPU43ZM/A,iPhone Accessories,92.0,17.0,5.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPU63ZM/A,iPhone Accessories,345.0,66.0,20.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPU73ZM/A,iPhone Accessories,304.0,60.0,18.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPV03ZD/A,iPhone 14/Plus/Pro/Pro Max,6252.0,948.0,266.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPW43ZD/A,iPhone 14/Plus/Pro/Pro Max,928.0,113.0,31.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQFK3B/A,Ultra 1,1402.0,194.0,20.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPWW3ZD/A,iPhone 14/Plus/Pro/Pro Max,49.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQ1F3ZD/A,iPhone 14/Plus/Pro/Pro Max,2065.0,313.0,103.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQ1W3ZD/A,iPhone 14/Plus/Pro/Pro Max,696.0,124.0,32.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQ2N3ZD/A,iPhone 14/Plus/Pro/Pro Max,299.0,54.0,6.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQ4H2ZM/A,Connectivity Accessories,52.0,5.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQ5F3ZD/A,iPhone 14/Plus/Pro/Pro Max,49.0,0.0,0.0,2023-04-01,2023-04-08
