Week_Start_Date,Product,Sessions,PDP Add to Cart Units,Units Sold,FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Quarter_Start_Date,Data_Type,Product Code
2023-07-17,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-10,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-17,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,Mac Mini,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,Mac Studio,0.0,0.0,0.0,0,0,1970-01-01,0,0
